epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2999,1.11943,1.90336,1.16981,0.08936,0.52663,0.43757,0.31887,1.14456,4.24562,1.19578,0.000163194,0.000163194,0.0675243
2,48.9979,0.98178,0.80259,1.03666,0.99201,0.73446,0.91162,0.63725,0.9899,1.82742,0.95437,0.000329781,0.000329781,0.0343576
3,72.824,0.96178,0.72377,1.02436,0.97741,0.85207,0.95344,0.6733,0.93168,0.8701,0.90813,0.000496043,0.000496043,0.00119049
4,96.311,0.95458,0.69791,1.02384,0.95351,0.97096,0.98649,0.71442,0.93734,0.64432,0.92089,0.000498902,0.000498902,0.000498902
5,119.514,0.95016,0.65385,1.02596,0.98602,0.8347,0.93936,0.66425,1.04313,0.9355,0.96969,0.000498048,0.000498048,0.000498048
6,142.736,0.916,0.62198,1.00202,0.97009,0.95945,0.98679,0.75939,0.81825,0.70736,0.89438,0.000496953,0.000496953,0.000496953
7,166.132,0.90896,0.60495,1.01179,0.98169,0.95173,0.98193,0.7681,0.81128,0.52686,0.87411,0.000495616,0.000495616,0.000495616
8,188.782,0.91778,0.60287,1.00401,0.966,0.98225,0.99142,0.75233,0.89413,0.5124,0.90039,0.000494039,0.000494039,0.000494039
9,212.089,0.91149,0.58041,0.99581,0.98154,0.98225,0.99287,0.76579,0.85848,0.50283,0.90142,0.000492224,0.000492224,0.000492224
10,236.28,0.85574,0.55753,0.9765,0.98786,0.96269,0.9907,0.73633,0.94411,0.56878,0.9071,0.000490173,0.000490173,0.000490173
11,259.51,0.90918,0.55808,0.99622,0.98618,0.97041,0.99138,0.77444,0.78299,0.47728,0.88037,0.000487886,0.000487886,0.000487886
12,283.312,0.87619,0.53764,0.99,0.98765,0.94639,0.98649,0.67632,1.04532,0.54464,0.95855,0.000485368,0.000485368,0.000485368
13,306.626,0.86516,0.53023,0.98111,0.98224,0.9815,0.99222,0.77116,0.82125,0.47395,0.87999,0.00048262,0.00048262,0.00048262
14,329.996,0.88335,0.54837,0.99468,0.99081,0.9645,0.97608,0.78003,0.76818,0.5123,0.87257,0.000479644,0.000479644,0.000479644
15,353.956,0.88406,0.53126,1.00474,0.98239,0.99012,0.99319,0.80267,0.75688,0.43271,0.86442,0.000476445,0.000476445,0.000476445
16,377.653,0.84895,0.52638,0.9889,0.99246,0.98817,0.99197,0.76288,0.80373,0.45257,0.88002,0.000473024,0.000473024,0.000473024
17,401.292,0.84858,0.52979,0.98037,0.98666,0.97041,0.98793,0.79902,0.7319,0.45313,0.86666,0.000469386,0.000469386,0.000469386
18,424.624,0.84742,0.51099,0.9839,0.98212,0.97509,0.98752,0.79999,0.70291,0.4459,0.85514,0.000465534,0.000465534,0.000465534
19,448.232,0.83831,0.49256,0.96826,0.98583,0.98225,0.99127,0.75057,0.86972,0.44241,0.88961,0.000461471,0.000461471,0.000461471
20,471.662,0.81724,0.49063,0.97591,0.99404,0.98678,0.99148,0.76759,0.87883,0.4723,0.89126,0.000457202,0.000457202,0.000457202
21,495.109,0.81729,0.48379,0.97389,0.98392,0.97041,0.99086,0.80919,0.69579,0.42998,0.86106,0.000452732,0.000452732,0.000452732
22,518.884,0.83738,0.48599,0.96606,0.97636,0.97747,0.99379,0.76618,0.80571,0.46967,0.87908,0.000448063,0.000448063,0.000448063
23,542.376,0.81707,0.47296,0.96143,0.97644,0.98087,0.98948,0.79329,0.7284,0.41926,0.8595,0.000443202,0.000443202,0.000443202
24,565.513,0.8259,0.47206,0.97844,0.98234,0.98749,0.9924,0.81109,0.70565,0.38954,0.85149,0.000438152,0.000438152,0.000438152
25,588.552,0.82109,0.49948,0.97317,0.98964,0.98817,0.99395,0.72464,0.93303,0.47794,0.88932,0.00043292,0.00043292,0.00043292
26,611.833,0.80905,0.4664,0.96871,0.98225,0.98223,0.9936,0.72503,0.95209,0.44399,0.90425,0.000427509,0.000427509,0.000427509
27,636.289,0.8324,0.4647,0.97441,0.99396,0.97437,0.99317,0.82501,0.66301,0.40539,0.8463,0.000421925,0.000421925,0.000421925
28,659.144,0.78877,0.46174,0.96701,0.98665,0.99408,0.99435,0.76812,0.82143,0.42338,0.87962,0.000416175,0.000416175,0.000416175
29,683.242,0.80781,0.45031,0.95858,0.99401,0.98111,0.99441,0.78521,0.76566,0.39323,0.87232,0.000410262,0.000410262,0.000410262
30,706.483,0.79764,0.45919,0.96116,0.99241,0.97041,0.99077,0.81686,0.6729,0.39871,0.84846,0.000404194,0.000404194,0.000404194
31,729.833,0.79007,0.44907,0.96335,0.98252,0.9979,0.99336,0.78342,0.79942,0.39734,0.87515,0.000397977,0.000397977,0.000397977
32,753.757,0.77786,0.44481,0.96949,0.99394,0.96972,0.9885,0.81672,0.70363,0.42633,0.85263,0.000391616,0.000391616,0.000391616
33,776.789,0.75864,0.43337,0.94674,0.98789,0.96516,0.99365,0.82652,0.67659,0.39784,0.8449,0.000385117,0.000385117,0.000385117
34,800.332,0.75772,0.4121,0.94201,0.99365,0.97633,0.99111,0.81065,0.72194,0.40174,0.85966,0.000378488,0.000378488,0.000378488
35,824.033,0.75163,0.44974,0.95293,0.994,0.98074,0.99414,0.83777,0.64636,0.37113,0.84582,0.000371734,0.000371734,0.000371734
36,847.137,0.74399,0.42952,0.93755,0.98253,0.99849,0.9944,0.78397,0.77359,0.39427,0.88748,0.000364863,0.000364863,0.000364863
37,871.254,0.74606,0.44583,0.94785,0.99366,0.97041,0.99086,0.74749,0.90886,0.42777,0.89675,0.00035788,0.00035788,0.00035788
38,894.12,0.73872,0.41503,0.93419,0.98076,0.98817,0.9922,0.67793,1.04978,0.49387,0.96424,0.000350794,0.000350794,0.000350794
39,917.771,0.75561,0.42606,0.95511,0.98775,0.98817,0.9932,0.74068,0.91613,0.42333,0.91499,0.000343611,0.000343611,0.000343611
40,940.817,0.75012,0.43153,0.94427,0.98765,0.98817,0.99384,0.8299,0.70116,0.37576,0.85683,0.000336338,0.000336338,0.000336338
41,964.017,0.73393,0.41914,0.94533,0.98675,0.98225,0.99389,0.82509,0.70013,0.37725,0.85145,0.000328982,0.000328982,0.000328982
42,987.569,0.74328,0.41977,0.9515,0.98157,0.98225,0.99047,0.81878,0.70112,0.39812,0.85469,0.00032155,0.00032155,0.00032155
43,1010.72,0.72639,0.40535,0.93628,0.96383,0.98817,0.99286,0.71772,1.01496,0.46688,0.93381,0.000314051,0.000314051,0.000314051
44,1033.79,0.72626,0.40167,0.94424,0.99346,0.98817,0.9943,0.84437,0.68157,0.35234,0.84503,0.00030649,0.00030649,0.00030649
45,1057.54,0.73192,0.41317,0.94274,0.99356,0.98225,0.99402,0.84196,0.64915,0.35153,0.83997,0.000298877,0.000298877,0.000298877
46,1081.31,0.71886,0.40249,0.94306,0.99342,0.98817,0.99447,0.79283,0.80066,0.37004,0.87968,0.000291218,0.000291218,0.000291218
47,1104.31,0.72491,0.39974,0.93739,0.99335,0.98817,0.99426,0.81649,0.72822,0.36622,0.86003,0.00028352,0.00028352,0.00028352
48,1128.78,0.69521,0.39605,0.93328,0.98763,0.98817,0.99411,0.82371,0.66773,0.34954,0.84773,0.000275792,0.000275792,0.000275792
49,1151.99,0.71877,0.39573,0.94307,0.98715,0.99408,0.99416,0.8238,0.69087,0.34607,0.84585,0.000268041,0.000268041,0.000268041
50,1175.21,0.71251,0.384,0.92927,0.98244,0.99335,0.99422,0.83412,0.67197,0.34529,0.84464,0.000260274,0.000260274,0.000260274
51,1199.09,0.69433,0.391,0.93184,0.98166,0.98817,0.99441,0.83248,0.67692,0.34031,0.84996,0.0002525,0.0002525,0.0002525
52,1222.74,0.72267,0.39743,0.93628,0.99334,0.98225,0.99402,0.80119,0.76234,0.36582,0.86429,0.000244726,0.000244726,0.000244726
53,1246.94,0.70442,0.3876,0.9386,0.98245,0.9935,0.9936,0.83438,0.66314,0.34473,0.84937,0.000236959,0.000236959,0.000236959
54,1271.29,0.6815,0.3852,0.91725,0.98245,0.99349,0.99398,0.7569,0.86236,0.37752,0.9091,0.000229208,0.000229208,0.000229208
55,1296.48,0.68858,0.3771,0.92748,0.98206,0.99408,0.99411,0.78583,0.77675,0.35779,0.88353,0.00022148,0.00022148,0.00022148
56,1321.44,0.66468,0.36982,0.92115,0.98786,0.99408,0.99434,0.84668,0.62085,0.30818,0.83438,0.000213782,0.000213782,0.000213782
57,1347.09,0.66113,0.37204,0.91947,0.9879,0.99408,0.9947,0.84688,0.63891,0.32322,0.83944,0.000206123,0.000206123,0.000206123
58,1372.62,0.68264,0.38372,0.92235,0.99408,0.99351,0.99453,0.82752,0.68277,0.32952,0.84666,0.00019851,0.00019851,0.00019851
59,1397.79,0.66804,0.3714,0.92363,0.99335,0.98817,0.9942,0.83779,0.64895,0.3262,0.84076,0.000190949,0.000190949,0.000190949
60,1423.07,0.65512,0.36169,0.92346,0.99393,0.98817,0.99459,0.8353,0.65965,0.32284,0.84751,0.00018345,0.00018345,0.00018345
61,1448.2,0.65492,0.35623,0.9159,0.99408,0.99372,0.99459,0.82649,0.67128,0.33075,0.84214,0.000176018,0.000176018,0.000176018
62,1472.13,0.67307,0.36419,0.91891,0.99334,0.98817,0.99264,0.79875,0.74012,0.33905,0.86704,0.000168662,0.000168662,0.000168662
63,1496.59,0.66072,0.35952,0.9211,0.99335,0.98817,0.99447,0.8242,0.71329,0.33682,0.8595,0.000161389,0.000161389,0.000161389
64,1521.16,0.64292,0.35841,0.91535,0.98823,0.99379,0.99429,0.85616,0.60639,0.31406,0.8333,0.000154206,0.000154206,0.000154206
65,1545.68,0.63939,0.34711,0.91365,0.98763,0.98817,0.99348,0.83978,0.61825,0.31539,0.83607,0.00014712,0.00014712,0.00014712
66,1569.73,0.63284,0.35387,0.90733,0.9869,0.99408,0.99379,0.839,0.63778,0.31764,0.84424,0.000140137,0.000140137,0.000140137
67,1593.63,0.63853,0.35854,0.90819,0.98823,0.99357,0.99423,0.82604,0.66029,0.31847,0.84466,0.000133266,0.000133266,0.000133266
68,1617.86,0.63182,0.34857,0.91173,0.9935,0.98817,0.99399,0.83001,0.6777,0.32457,0.84671,0.000126512,0.000126512,0.000126512
69,1642.25,0.62737,0.33894,0.9132,0.99362,0.99408,0.99453,0.82898,0.67734,0.31308,0.84374,0.000119883,0.000119883,0.000119883
70,1665.94,0.62894,0.33786,0.90211,0.98779,0.99408,0.99452,0.77635,0.80871,0.33681,0.88528,0.000113384,0.000113384,0.000113384
71,1690.23,0.61713,0.33155,0.90348,0.99353,0.99408,0.99476,0.83393,0.65028,0.30362,0.84385,0.000107023,0.000107023,0.000107023
72,1714.33,0.61159,0.32641,0.90074,0.98808,0.99408,0.99441,0.82892,0.67669,0.30752,0.85046,0.000100806,0.000100806,0.000100806
73,1739.47,0.61248,0.3257,0.90048,0.993,0.99408,0.99459,0.86539,0.58848,0.29517,0.82751,9.47376e-05,9.47376e-05,9.47376e-05
74,1763.87,0.61857,0.34142,0.91705,0.98771,0.99408,0.99446,0.80444,0.73173,0.32479,0.86062,8.88253e-05,8.88253e-05,8.88253e-05
75,1789.04,0.60393,0.33417,0.90335,0.98776,0.99408,0.99429,0.78497,0.78846,0.33551,0.87321,8.30746e-05,8.30746e-05,8.30746e-05
76,1814.2,0.60457,0.33009,0.90302,0.98784,0.99408,0.99447,0.83195,0.67767,0.31108,0.84755,7.74911e-05,7.74911e-05,7.74911e-05
77,1838.97,0.61648,0.33179,0.89885,0.98764,0.98817,0.99044,0.81267,0.71509,0.32059,0.85852,7.20803e-05,7.20803e-05,7.20803e-05
78,1863.81,0.60867,0.33156,0.91262,0.98823,0.99373,0.99179,0.84009,0.64078,0.30154,0.83618,6.68475e-05,6.68475e-05,6.68475e-05
79,1888.93,0.59547,0.32891,0.8979,0.98793,0.99408,0.99453,0.84622,0.64382,0.29651,0.8374,6.1798e-05,6.1798e-05,6.1798e-05
80,1913.87,0.59692,0.32902,0.90284,0.98823,0.9937,0.99361,0.83924,0.65968,0.30371,0.84469,5.69366e-05,5.69366e-05,5.69366e-05
81,1939.45,0.58699,0.30971,0.9019,0.98724,0.99408,0.99322,0.84091,0.6487,0.30398,0.84142,5.22683e-05,5.22683e-05,5.22683e-05
